title1_zh,title2_zh,label
千叶湖八岁孩子不想去学英语，跳楼了,「辟谣」千叶湖八岁孩子跳楼了为谣言信息,disagreed
喝酸奶真的能补充益生菌吗？,喝酸奶来补充益生菌，靠谱么？,agreed
刚刚马云终于出手了！房价要跌，扬言房地产中介都要失业了,最新消息马云终于出手了！扬言房地产中介都要失业！6,agreed
直击“冯乡长”李正春追悼会：赵本山全程操办，赵四刘能现场祭奠,昆明会议直击“活摘”谣言,unrelated
李雨桐爆薛之谦离婚内幕，说到底就是网红之间的恩怨情仇嘛,薛之谦前女友李雨桐再次发微博爆料，薛之谦工作室发声明辟谣,disagreed
苹果打蜡致癌,一种农村超级顽固的杂草，居然能治疗风湿关节痛,unrelated
GJSAY光晶说：普洱茶含黄曲霉素？容易致癌？是真的吗,普洱茶致癌？2017年舌尖上的谣言你免疫了吗？,unrelated
伊利董事长潘刚疑似被带走？？？是真是假？,伊利：造谣董事长被带走调查的一名涉案人员已被捕归案,disagreed
一个月根治糖尿病，协和医院密不外传的方子,根治糖尿病！不用几万，用这个方子在家轻松治降血糖（建议收藏）,agreed
刘明炜高考准考证丢失,高考临近准考证丢失谣言再现翻版 警方：别拨电话,disagreed
刚公布赵丽颖恋情，卓伟就曝光了赵丽颖不雅照这是洗不白了？,赵丽颖大方公开恋情 竟然是他？,agreed
央视都播了！60岁以下逮捕罚款，今天起全国严查棋牌室？,全国严查棋牌室，60岁以下一律逮捕？谣言！,disagreed
快速戒烟的小妙招,戒烟是一件很困难的事情，今天教你一个小妙招,agreed
能减肥还能缓解疲劳 就是香蕉了,香蕉切片这样做，肚子小两圈，减肥瘦身治便秘,agreed
李天一竟提前六年出狱？网友调侃：李双江夫妇人脉关系很强大！,北京监狱声明：强奸犯李天一被提前6年出狱并已出国实属谣言,disagreed
交警提醒：驾驶证“替人销分”17新规出台，驾驶证代扣已成为过去,辟谣？你是否相信这些谣言？2018驾驶证消分出新规？驾照代扣分扣留6个月？还得拘留15天？,unrelated
微信隐藏的逆天功能，输入这串代码，你的位置立即就能定位,微信实用小技巧！发送这串代码，便可以快速定位自己的位置！,agreed
《写给未来的你》，值得所有孩子一看,余光中：写给未来的你｜这不是对生命最大的辜负！,unrelated
签字版“袁大头”到底有多值钱？百万宝马都换不来！,擦肩而过的百万珍品——签字版袁大头,agreed
四川省南充市嘉陵区四中学生打死人,"杨颖赵丽颖参加节目同框比美, 网友: 整容和非整容一眼就看出",unrelated
"不认识这几种摄像头,就算你有3本驾照都不够扣分!",提示：2018年起新交规实行，不认识这5种摄像头，100分也不够扣！,agreed
卓伟报鹿晗隐婚生子，鹿晗回应：再胡说把你嘴巴上锁,鹿晗被爆隐婚生子，回应卓伟：再胡说就给你嘴巴上锁,agreed
微信号可以修改了！有奇葩微信号的朋友可以一雪前耻了！,微信一年只能修改5次用户资料是谣言。,disagreed
王源被疑整容，范冰冰发微博力挺王源，李晨也不忘秀恩爱,华信系首次回应“上海国盛接管”传言：未收到通知 请投资者“不轻信网络不实传言”,unrelated
腾蛟有人赌球输了跳楼,「热点关注」成都男子赌球输了跳楼？谣言！天台上的，警方请你们下来聊聊,unrelated
中国华北上空出现不明飞行物 神秘物体似UFO,谢霆锋妈妈想见孙子，不知张柏芝怎么想，是否同意孩子回父亲家,unrelated
网友怀疑杨幂整容，她和老同学的回答吓到众人,马伊琍当考官坚决表态拒绝整容脸 杨幂郑爽都是新生代可惜的例子,unrelated
农民朋友请注意：不参与土地确权，这四项权益你可能都享受不到！,好事将近？范冰冰李晨同回老家  那被爆分手又是怎么回事？,unrelated
空腹吃这些食物等于慢性自杀，第一个就常吃！,空腹吃这些食物等于慢性自杀？击穿空腹吃喝的那些谣言！,disagreed
彭于晏出轨？出柜？！小仙女们要哭了！,彭于晏被爆“出柜”？工作室火速辟谣！“男女通吃”怪我咯？,disagreed
彭于晏出柜了？对方叫张磊，没想到是这样的霸道总裁！,出柜不可怕，真爱最伟大？韩红发声明斥责网络谣言，否认谣言！,unrelated
淮南人朋友圈热传“飞机撒药治白蛾？”,飞机撒药治白蛾又开始了？且慢！我两年前就见过这条谣言,disagreed
女主播夜宿故宫直播慈禧床榻？,确定是假的！漳州虎踪视频涉嫌散布谣言，有关部门正在调查！,unrelated
华为制造高颜值威马汽车来了！融资达200亿，下半年完成生产,华为入股的汽车即将上市，与360合作开发车载防护，各种黑科技,unrelated
5月1日起公交成为全国失联儿童安全守护点,辟谣丨“5月1日起全国公交成失联儿童守护点”假的！,disagreed
娱乐圈再现“塑料姐妹花”是怎么回事？网友：拿唐嫣打脸杨幂？,唐嫣杨幂渐行渐远,unrelated
片酬从6000万降到10万可能吗？范冰冰宣布退出娱乐圈,范冰冰宣布退出娱乐圈？片酬从6000万降到10万！,agreed
李天一提前6年出狱？李双江夫妻心情大好，网友：对受害人公平吗,“李天一获减刑提前出狱”？谣言！,disagreed
妻子成植物人3年，突然怀孕丈夫却哭成泪人，咋回事？,没想到：丈夫成植物人，卧床3年后，妻子怀孕了,unrelated
广西13人吃西瓜感染病毒死亡,在群中传谣称13人吃西瓜感染病毒死亡 女子被警方传唤并口头警告,disagreed
张柏芝10月巴黎结婚，男朋友是比她小11岁的小鲜肉，谢霆锋回应！,张柏芝将与小鲜肉结婚，彻底告别谢霆锋，男方人格魅力不输谢霆锋,agreed
乡下偏方：枸杞+洋葱+蜂蜜，前列腺问题半个月除根，从此不再反复,洋葱：前列腺的天敌，只花不到2块钱，6天断根，一用一个准！,agreed
苏打绿解散,阿龚澄清苏打绿解散传言:青峰单飞消息不属实,disagreed
抽烟戒不掉？多吃这4种食物就可以清肺排烟毒！真的不试试？,抽烟熬夜，你是否经常痰多咳嗽胸闷？6种清肺润肺食物助你排烟毒,agreed
张继科已向景甜求婚？见完父母后景甜已戴上戒指，网友：好事将近,景甜、张继科好事将近？“景甜方辟谣”成热搜！,disagreed
成龙私生女正面近照曝光，网友：开始有女人味了！,成龙私生女近照曝光，和关晓彤一样无忧无虑！,agreed
